ID, Nome , Ator
RF01, manter os usuarios(nome / endereço / telefone / email) , secretária
RF02, manter as obras(titulo / ISBN / quantidade de paginas / ano / edição / autores / editora) , bibliotecaria
RF03, consulta das obras, usuario
RF04, manter autores, bibliotecaria
RF05, manter editoras(nome / cnpj / telefone / endereço / email), bibliotecaria
RF06, manter exemplar(numero do exemplar / obra que ele se refere), bibliotecaria
RF07, funcionalidade de efetuar bloqueio, professor
RF08, registrar devolução do empréstimo, secretaria 
RF09, registrar empréstimo, secretaria



